source	text
Uncova	Adeboye_PROPN Amosu_PROPN Tanzania_PROPN coach_NOUN Charles_NOUN Mkwasa_PROPN declare_VERB side’_NOUN readiness_NOUN take_VERB on_ADV Nigeria_PROPN weekend’_NOUN 2017_NUM african_ADJ cup_NOUN qualifier_NOUN bill_VERB national_ADJ stadium_NOUN Dar_PROPN e_PROPN Salaam_PROPN Taifa_NOUN star_NOUN perfect_VERB strategy_NOUN Turkey_PROPN past_ADJ one_NUM week_NOUN ahead_NOUN crucial_ADJ clash_NOUN where_ADV play_VERB high-profile_NOUN friend_ADV Libya_PROPN last_ADV Friday_ADV training_NOUN hel_VERB build_VERB stamina_NOUN team_NOUN now_ADV maintain_VERB high_ADJ tempo_NOUN play_NOUN long_ADJ press_VERB forward_ADV unit_NOUN strike_VERB good_ADJ sign_NOUN plan_NOUN Nigeria”_NOUN tell_VERB Tanzania_PROPN Federation_NOUN official_ADJ tactician_NOUN also_ADV praise_VERB Turkey_PROPN camp_NOUN say_VERB give_VERB conducive_ADJ environment_NOUN fully_ADV implement_VERB train_VERB program_NOUN physical_ADJ technical_ADJ aspect_NOUN well_ADV bring_VERB cohesion_NOUN whole_ADJ team_NOUN ”It’_NOUN really_ADV nice_ADV out_ADV here_ADV Turkey_PROPN training_NOUN facility_NOUN one_NUM good_ADJ get_VERB anywhere_ADV world_NOUN want_VERB give_VERB kudo_NOUN Federation_NOUN make_VERB possible_ADJ train_VERB wonderful_ADJ environment_NOUN have_VERB here_ADV Turkey_PROPN ”In_PROPN time_NOUN here_ADV work_VERB lot_NOUN thing_NOUN help_VERB day_NOUN match_NOUN Tanzania_PROPN lose_VERB open_VERB game_NOUN qualify_ADJ series_NOUN egypt_PROPN 3-0_NUM Nigeria_PROPN beat_NOUN 2-0_NUM Kaduna_PROPN post_NOUN appear_VERB first_ADV complete_PROPN sport_PROPN Nigeria_PROPN
4 Traders	deal_ADJ type_NOUN Acquisition_NOUN deal_PROPN Sub_PROPN type_NOUN Minority_NOUN Acquisition_NOUN deal_ADJ country_NOUN unite_PROPN kingdom_PROPN deal_ADJ Status_NOUN complete_VERB deal_ADJ value_NOUN 0.0000_NUM USD_PROPN deal_PROPN connect_PROPN group_NOUN Plc_PROPN subsidiary_ADJ connect_NOUN book_NOUN acquire_VERB remain_VERB 49%_SYM stake_NOUN Wordery_PROPN online_ADJ bookseller_NOUN Will_PROPN Jone_PROPN Steve_VERB potter_PROPN Rob_PROPN Johnson_PROPN lee_PROPN Valentine_PROPN William_VERB company_NOUN involve_VERB transaction_NOUN base_VERB Uk_PROPN connect_ADJ group_NOUN distributor_NOUN newspaper_NOUN magazine_NOUN book_NOUN education_NOUN care_VERB consumable_ADJ product_NOUN Wordery_PROPN joint_ADJ venture_NOUN connect_PROPN book_NOUN Jone_PROPN Steve_VERB potter_PROPN Rob_PROPN Johnson_PROPN lee_PROPN Valentine_PROPN Tim_ADJ William_NOUN result_NOUN transaction_NOUN Wordery_PROPN become_VERB wholly-owned_ADJ subsidiary_NOUN connect_PROPN book_NOUN continue_VERB operate_VERB standalone_ADJ business_NOUN unit_NOUN same_ADJ staff_NOUN team_NOUN 10_NUM employee_NOUN remain_VERB Farnborough_PROPN connect_PROPN book_NOUN headquarter_VERB Index_NUM book_NOUN c_ADJ 2015_NUM Progressive_PROPN Media_PROPN Metadata_PROPN right_NOUN reserve_VERB Republication_NOUN redistribution_NOUN include_VERB frame_VERB similar_ADJ means_NOUN express_ADV prohibit_VERB prior_NOUN write_VERB consent_NOUN Progressive_PROPN Media_PROPN group_NOUN Metadata_NOUN liable_ADJ error_NOUN delay_NOUN content_NOUN action_NOUN take_VERB reliance_NOUN thereon_NOUN PDM_PROPN deal_PROPN
MyInforms	Santa_PROPN Clara_PROPN centenarian_NOUN break_VERB several_ADJ world_NOUN record_NOUN compet_VERB senior_ADJ track_NOUN California_PROPN slow_VERB CBS_VERB San_PROPN Francisco_PROPN Santa_PROPN Clara_PROPN age_NOUN just_ADV number_NOUN especially_ADV Don_PROPN Pellman_PROPN Santa_PROPN Clara_PROPN man_NOUN 100_NUM year_NOUN old_ADJ still_ADV break_ADJ record_NOUN track_NOUN world_NOUN record_NOUN just_ADV weekend_NOUN Pellman_PROPN spend_VERB day_NOUN car_VERB wife_NOUN Marjoree_PROPN break_VERB several_ADJ world_NOUN record_NOUN people_NOUN age_NOUN report_NOUN CBS_VERB San_PROPN Francisco_PROPN Pellman_PROPN compet_VERB senior_ADJ track_NOUN meet_NOUN 70_NUM year_NOUN old_ADJ enter_VERB 890_NUM event_NOUN have_VERB gold_NOUN medal_NOUN five_NUM decade_NOUN CBS_VERB San_PROPN Francisco_PROPN interview_VERB Pellman_PROPN time_NOUN 90_NUM year_NOUN old_ADJ show_VERB shot-put_NOUN skill_NOUN Pellman_ADJ realize_NOUN do_VERB age_NOUN exactly_ADV normal_ADJ hundred_NUM year_NOUN old_ADJ people_NOUN pole-vault_VERB high_ADJ jump_NOUN run_VERB tell_VERB CBS_PROPN San_PROPN Francisco_PROPN Pellman_PROPN thing_NOUN last_ADJ weekend_NOUN end_VERB up_ADV setting_VERB world_NOUN record_NOUN five_NUM out_ADV six_NUM event_NOUN Pellman_ADJ tell_NOUN CBS_VERB San_PROPN Francisco_PROPN miss_VERB pole-vault_NOUN assist_VERB live_ADJ home_NOUN have_VERB pit_NOUN out_ADV back_ADV practice_NOUN
EIN News	12:05_NUM Gmt_PROPN Reflektor_NOUN Tape_NOUN set_VERB open_VERB cinema_NOUN september_PROPN 24_NUM Arcade_NOUN fire_PROPN release_VERB three_NUM stills_NOUN forthcom_ADJ feature_NOUN film_ADV exclusive_ADV Nme.com_PROPN title_VERB Reflektor_NOUN Tape_NOUN film_NOUN follow_VERB band_NOUN make_VERB chart-topp_VERB 2013_NUM album_NOUN Reflektor_NOUN subsequent_ADJ world_NOUN tour_NOUN feature_NOUN blend_NOUN concert_NOUN footage_NOUN interview_NOUN scene_NOUN continue_VERB reade_VERB
MyInforms	Midlands_PROPN lawmaker_NOUN distribute_VERB ticket_NOUN spot_NOUN Capitol_NOUN lawn_NOUN where_ADV pope_NOUN appear_VERB brief_ADV attendee_NOUN watch_VERB live_ADJ telecast_NOUN Washington_NUM seat_NOUN house_NOUN chamber_NOUN pope’_ADJ sept_NOUN 24_NUM address_NOUN pretty_ADV close_ADV impossible_ADJ land_VERB senator_NOUN representative_NOUN get_VERB only_ADV one_NUM seat_NOUN special_ADJ guest_NOUN still_ADV ticket_NOUN have_VERB lawn_NOUN Capitol_NOUN where_ADV attendee_NOUN able_ADJ watch_VERB live_ADJ telecast_NOUN address_NOUN Pope_PROPN Francis_PROPN also_ADV schedule_VERB make_VERB brief_ADJ appearance_NOUN Capitol’_ADJ west_ADJ terr_NOUN
Individual.com	Southern_ADJ Illinois_PROPN university_NOUN foundation_NOUN Siu_PROPN foundation_NOUN select_VERB Unit4_NUM provider_NOUN enterprise_ADJ application_NOUN service_NOUN organization_NOUN manage_VERB endowment_NOUN $123_NUM million_NUM endowment_NOUN very_ADV 2_NUM 600_NUM account_NOUN manage_VERB foundation_NOUN executive_ADJ Director_NOUN Cfo_PROPN Steve_VERB Nagle_PROPN say_VERB Unit4_NUM business_NOUN world_NOUN agile_ADJ people_NOUN Platform_PROPN provide_VERB foundation_NOUN flexibility_NOUN industry-specific_ADJ functionality_NOUN current_ADJ system_NOUN hard-coded_VERB so_ADV figur_VERB out_ADV logic_ADJ make_VERB change_NOUN require_VERB it_ADJ intervention_NOUN Nagle_ADJ say_NOUN have_VERB very_ADV engaged_ADJ board_NOUN understand_VERB fiduciary_ADJ responsibility_NOUN need_VERB strong_ADJ system_NOUN allow_VERB invest_VERB wisely_ADV track_NOUN get_VERB good_ADJ returns_NOUN ensure_VERB earning_NOUN maximize_VERB please_VERB business_NOUN world_NOUN flexibility_NOUN Nagle_ADJ also_ADV cite_VERB plan_ADJ fundraise_ADJ campaign_NOUN key_NOUN determinant_NOUN choose_VERB business_NOUN world_NOUN want_VERB system_NOUN grow_VERB expand_VERB future_NOUN unit4_NUM ERP_PROPN capacity_NOUN multiple_ADJ business_NOUN use_VERB say_VERB look_VERB forward_ADV long-term_ADJ partnership_NOUN Unit4_NUM Nagle_ADJ say_NOUN
NewsR.in	wochit_VERB 6_NUM day_NOUN Soar_VERB blue_PROPN Jay_PROPN back_VERB love_PROPN with_PROPN ~_~baseball_NOUN 00:46_NUM Toronto_PROPN blue_PROPN Jay_PROPN make_VERB Mlb_PROPN postseason_NOUN 21_NUM year_NOUN longe_ADJ playoff_NOUN drotch_VERB major_ADJ league_NOUN sport_NOUN right_ADV now_ADV however_ADV first_ADJ american_ADJ League_NOUN east_PROPN result_NOUN city_NOUN re-energize_VERB only_ADV eight_NUM banner_NOUN hang_VERB JumboTron_NOUN Roger_NOUN centre_NOUN two_NUM be_VERB
MyInforms	thousand_NOUN fland_VERB austria_PROPN day_NOUN see_VERB path_NOUN western_ADJ europe_PROPN block_VERB border_ADJ guard_NOUN dog_NOUN Szentgotthard_PROPN Hungary_PROPN thousand_NOUN migrant_NOUN flood_VERB austria_PROPN Saturday_PROPN day_NOUN shuttle_VERB one_NUM country_NOUN see_VERB path_NOUN western_ADJ europe_PROPN block_VERB border_ADJ guard_NOUN dog_NOUN razor-wire_ADJ fence_NOUN barricade_VERB bridge_NOUN riot_NOUN police_NOUN Austrian_ADJ police_NOUN say_VERB some_ADV 6,_NUM 700_NUM people_NOUN travel_VERB central_ADJ european_ADJ country_NOUN Hungary_PROPN trap_VERB friday_ADV vicious_ADJ tug-of-war_NOUN bicker_VERB european_ADJ government_NOUN rapid_ADV shut_VERB down_ADV border_ADJ crossing_NOUN erecte_VERB new_ADJ fence_NOUN cut_VERB down_ADV torrent_NOUN asylum-seeker_NOUN pain_NOUN uncertainty_NOUN drain_VERB face_NOUN Adeeb_PROPN Jaafri_PROPN theate_ADJ student_NOUN damascus_PROPN cross_VERB Heiligenkreuz_PROPN austria_PROPN right_ADV now_ADV feel_VERB bear_VERB anew_NOUN now_ADV even_ADV see_VERB long_ADJ queue_NOUN front_NOUN say_VERB make_VERB difference_NOUN delay_VERB stay_VERB here_ADV two_NUM day_NOUN important_ADJ thing_NOUN final_ADV arrive_VERB now_ADV final_ADV safe_ADJ raise_VERB arm_NOUN joy_NOUN cross_VERB border_NOUN milestone_NOUN epic_ADJ journey_NOUN safety_NOUN journey_NOUN chaotic_ADJ report_NOUN emerge_VERB family_NOUN separat_VERB fotch_VERB space_NOUN buse_NOUN Hungarian_ADJ side_NOUN Austrian_ADJ border_NOUN Hala_PROPN Khatib_PROPN damascus_PROPN three_NUM daughter_NOUN weep_VERB uncontrollable_ADV want_VERB go_VERB germany_PROPN husband_NOUN be_VERB germany_PROPN come_VERB here_ADV all_ADV alone_ADJ country_NOUN please_INTJ let_VERB go_VERB sob_VERB exhaust_ADJ child_NOUN exhausted_VERB Cbs_PROPN news_NOUN foreign_ADJ correspondent_ADJ mark_NOUN Phillip_VERB report_NOUN border_NOUN Hungary_PROPN lurch_NOUN forward_ADV good_ADJ news_NOUN refugee_NOUN fits-and-start_NOUN trek_NOUN go_VERB on_ADV weeks_NOUN Mahmud_NOUN family_NOUN 17_NUM damascus_PROPN walk_VERB two_NUM week_NOUN really_ADV so_ADV happy_ADJ maybe_VERB tired_ADJ two_NUM week_NOUN maybe_ADV finish_VERB now_ADV Mahmud_NOUN tell_VERB Phillips_PROPN have_VERB child_NOUN have_VERB kid_NOUN Ten_NOUN thousand_NOUN very_ADV expect_VERB people_NOUN flee_ADJ conflict_NOUN poverty_NOUN middle_PROPN east_PROPN africa_PROPN Asia_PROPN sea_NOUN Turkey_PROPN greece_PROPN head_VERB north_ADV Macedonia_PROPN Serbia_PROPN Hungary_PROPN Saturday_PROPN Greek_ADJ coast_NOUN guard_NOUN say_VERB 5-year-old_ADJ girl_NOUN find_VERB sea_NOUN island_NOUN Lesbo_NOUN die_VERB boat_NOUN travel_VERB sink_NOUN 14_NUM miss_VERB normal_ADJ route_NOUN north_ADJ western_ADJ europe_PROPN disintegrate_VERB week_NOUN sAsylum-seeke_NOUN head_VERB Croatia_PROPN beat_VERB back_ADV tear_NOUN ga_NOUN water_NOUN cannon_NOUN Hungarian-Serbian_ADJ border_NOUN week_NOUN find_VERB return_VERB buse_NOUN train_VERB back_ADV Serbia_PROPN Hungary_PROPN Croatia_PROPN declare_VERB handle_VERB 20_NUM 700_NUM people_NOUN arrive_VERB Wednesday_PROPN go_VERB Croatia_PROPN Slovenia_PROPN seek_VERB another_ADJ way_NOUN austria_PROPN face_VERB block_ADJ bridge_NOUN determin_VERB Slovenian_PROPN riot_NOUN police_NOUN nominal_ADJ cooperation_NOUN emerge_VERB Saturday_PROPN Croatia_PROPN buse_VERB people_NOUN Hungary_PROPN buse_VERB austria_PROPN Hungary_PROPN military_ADJ meanwhile_NOUN announce_VERB call_VERB up_ADV 500_NUM army_NOUN reservist_NOUN far_ADV border_NOUN though_ADV sympathetic_ADJ plight_NOUN Croatian_ADJ president_NOUN Kolinda_PROPN Grabar_PROPN Kitarovic_PROPN demande_VERB european_ADJ union_NOUN step_VERB forward_ADV take_VERB responsibility_NOUN people_NOUN transit_NOUN country_NOUN 4.2_NUM million_NUM flooded_VERB local_ADJ community_NOUN flood_VERB number_NOUN refugee_NOUN area_NOUN far_ADV great_ADJ number_NOUN local_ADJ resident_NOUN tell_VERB associate_ADJ press_NOUN so_ADV need_VERB control_VERB need_VERB stop_VERB flow_NOUN need_VERB get_VERB reassurance_NOUN european_ADJ union_NOUN happen_NOUN people_NOUN be_VERB already_ADV Croatia_PROPN Mindful_PROPN hundred_NOUN migrant_NOUN walk_VERB Croatian_ADJ cornfield_NOUN forest_NOUN cross_VERB country_NOUN Kitarovic_PROPN stress_VERB further_ADJ measure_NOUN take_VERB secure_VERB Croatia_PROPN border_NOUN also_ADV warn_VERB danger_NOUN mine_NOUN leftover_ADV country_NOUN 1991-95_NUM war_NOUN
MyInforms	Puli_PROPN leave_VERB reel_VERB west_ADV Albion_NOUN side_NOUN give_VERB up_ADV two-goal_ADJ lead_NOUN lose_VERB 3-2_NUM Everton_PROPN Monday_PROPN night.the_NOUN Baggy_NOUN find_VERB str_ADJ position_NOUN less_ADV 10_NUM minute_NOUN second_ADJ half_NOUN Craig_PROPN Dawson_PROPN hea_VERB home_NOUN Chris_PROPN Brunt_PROPN corner_NOUN add_VERB Saido_PROPN Berhano_PROPN 41st-minute_NOUN opener.However_ADV Toffee_PROPN be_VERB back_ADV conte_ADJ moment_NOUN second_ADJ goal_NOUN Romelu_PROPN Lukaku_PROPN nod_VERB Gerard_PROPN Deulofeu_PROPN cross_NOUN Boaz_PROPN Myhill_PROPN Arouna_PROPN Kone_PROPN equalise_VERB
Town Hall	Albany_ADV ny_PROPN sept_VERB 9_NUM 2015_NUM NEWSWIRE_PROPN new_ADJ market_NOUN report_NOUN publish_VERB transparency_PROPN market_NOUN research_NOUN Mice_PROPN model_PROPN market_NOUN global_ADJ industry_NOUN analysis_PROPN size_PROPN share_NOUN grow_PROPN trends_PROPN Forecast_PROPN 2015_NUM 2023_NUM global_ADJ mice_NOUN model_NOUN market_NOUN value_VERB Usd_PROPN 1.01_NUM billion_NUM 2013_NUM anticipate_VERB expand_VERB CAGR_NOUN 6.4%_NOUN 2015_NUM 2023_NUM reach_VERB Usd_PROPN 1.75_NUM billion_NUM 2023_NUM Mice_PROPN one_NUM much_ADV important_ADJ research_NOUN tool_NOUN basic_NOUN apply_VERB research_NOUN biomedical_ADJ science_NOUN continue_NOUN grow_VERB rapid_ADJ rate_NOUN provide_VERB precise_ADJ correlation_NOUN human_ADJ condition_NOUN major_ADJ advantage_NOUN mice_NOUN model_NOUN prospect_NOUN explor_VERB precise_ADJ gene-specific_ADJ function_NOUN various_ADJ molecular_NOUN event_NOUN live_ADJ organism_NOUN Combin_VERB mice_NOUN model_NOUN advance_VERB image_ADJ technology_NOUN provide_VERB unique_ADJ opportunitie_NOUN understand_VERB etiology_NOUN pathophysiology_NOUN human_ADJ disease_NOUN Furthermuch_ADV mice_NOUN widely_ADV us_VERB biomedical_ADJ research_NOUN discover_VERB human_ADJ disease_NOUN evaluate_VERB new_ADJ drug_ADJ candidate_NOUN Mouse_NOUN research_NOUN lead_VERB major_ADJ advance_NOUN treat_VERB number_NOUN disease_NOUN condition_NOUN for_ADV example_NOUN experiment_NOUN mice_NOUN model_NOUN result_VERB efficacious_ADJ treatment_NOUN acute_NOUN promyelocytic_ADJ leukemium_NOUN Apl_PROPN large_ADV terminal_ADJ Browse_ADJ market_NOUN research_VERB report_NOUN Toc_NOUN free_NUM analysis_NOUN expand_ADJ collection_NOUN gene_ADJ technology_NOUN together_ADV sequencing_VERB mice_NOUN genome_NOUN biological_ADJ conservation_NOUN mouse_NOUN lead_ADJ position_NOUN model_NOUN decide_VERB mechanism_NOUN underlie_VERB human_ADJ disease_NOUN progression_NOUN much_ADJ other_ADJ genetically_ADV tractable_ADJ research_NOUN animal_NOUN mice_NOUN offer_VERB close_ADJ view_NOUN human_ADJ biology_NOUN term_NOUN resemblance_NOUN pathophysiology_NOUN cellular_ADJ structure_NOUN organization_NOUN 99%_NOUN gene_NOUN share_VERB human_NOUN new_ADJ possibility_NOUN opened_VERB genetic_ADJ test_VERB drug_ADJ discovery_NOUN other_ADJ basic_ADJ research_NOUN Furthermuch_ADV conservation_NOUN genetic_ADJ association_NOUN mice_NOUN human_NOUN genome_VERB respect_NOUN encoded_ADJ gene_NOUN alignment_NOUN chromosome_NOUN great_ADJ advantage_NOUN identification_NOUN potentially_ADV conforme_VERB homologous_ADJ mutation_NOUN disease_NOUN gene_NOUN Sample_PROPN report_NOUN copy_NOUN global_ADJ mice_NOUN model_NOUN market_NOUN segment_VERB basis_NOUN model_ADJ type_NOUN specialty_NOUN service_NOUN geography_ADJ base_VERB model_ADJ type_NOUN market_NOUN segment_VERB hybrid/congenic_ADJ transplantation_NOUN mouse_NOUN transgenic_ADJ knockout_ADJ carcinogen-induce_ADJ spontaneous_ADJ mouse_NOUN outbr_ADJ inbr_ADJ conditioned/surgically_ADV modify_VERB inbred_NOUN large_ADJ segment_NOUN global_ADJ mice_NOUN model_NOUN market_NOUN 2014_NUM due_NOUN advantage_NOUN such_ADJ cost_ADJ effectiveness_NOUN data_NOUN reproducibility_NOUN Moreover_ADV hybrid/congenic_ADJ segment_NOUN expect_VERB expand_VERB high_ADJ CAGR_NOUN forecast_ADJ period_NOUN 2015_NUM 2023_NUM due_ADJ increase_ADJ application_NOUN immunology_ADJ oncology_ADJ cardiovascular_ADJ study_NOUN base_VERB specialty_NOUN market_NOUN segment_VERB immunology_ADJ central_ADJ nervous_ADJ system_NOUN oncology_ADJ cardiovascular_ADJ diabete_NOUN metabolism_NOUN regulation_NOUN Metabolic_ADJ regulatory_ADJ disease_NOUN large_ADJ specialty_NOUN segment_NOUN market_NOUN term_NOUN revenue_NOUN 2014_NUM diabete_NOUN mice_NOUN model_NOUN specia